apcode	apzone	origpax2019	apnum
ABE	4256	425860	1
ABI	1610	78240	2
ABQ	4255	2414090	3
ABR	3830	30650	4
ABY	2859	38740	5
ACK	1023	85420	6
ACT	765	58860	7
ACV	4436	82490	8
ACY	4371	507580	9
ADK	1434	3390	10
ADQ	1577	63990	11
AEX	1592	114710	12
AGS	2356	310230	13
AKN	2685	10180	14
ALB	1270	1397870	15
ALO	3689	21760	16
AMA	3792	328090	17
ANC	578	1882380	18
APN	2418	14170	19
ART	2115	21710	20
ASE	2777	287080	21
ATL	467	17568580	22
ATW	1905	340320	23
AUS	715	7335140	24
AVL	1354	744730	25
AVP	4257	269110	26
AZO	1058	132060	27
BDL	317	3105220	28
BET	3427	65370	29
BFL	116	125920	30
BGR	4335	285820	31
BHM	2	1375170	32
BIL	3116	407370	33
BIS	2014	283970	34
BJI	4198	32630	35
BLI	3235	318890	36
BMI	4116	202750	37
BNA	620	6986270	38
BOI	4269	1870440	39
BOS	4364	15112090	40
BPT	645	28960	41
BQK	1844	39590	42
BRD	3929	23730	43
BRO	738	117270	44
BRW	4304	36520	45
BTM	3122	27540	46
BTR	956	366140	47
BTV	4068	632600	48
BUF	1260	2251560	49
BUR	67	2855890	50
BWI	998	8877480	51
BZN	4303	737820	52
CAE	4295	562710	53
CAK	1383	368370	54
CDC	2605	25340	55
CDV	1930	17600	56
CHA	615	499500	57
CHO	4290	349840	58
CHS	3321	2165630	59
CID	3706	599130	60
CLE	1374	4319310	61
CLL	763	75510	62
CLT	1360	6791630	63
CMH	1389	3652880	64
CMI	1830	97240	65
CMX	2409	20160	66
COD	1495	38520	67
COS	309	759860	68
COU	3552	112870	69
CPR	1485	95170	70
CRP	753	303680	71
CRW	2513	200000	72
CSG	2860	50400	73
CVG	2880	3776700	74
CWA	1916	123230	75
CYS	1492	16410	76
DAB	4307	321470	77
DAL	784	5258780	78
DAY	1396	730950	79
DBQ	3677	36510	80
DCA	815	9579580	81
DEN	4271	19753240	82
DFW	795	13792610	83
DHN	3312	54920	84
DLG	1573	9110	85
DLH	4300	140220	86
DRO	2774	181220	87
DRT	1618	21920	88
DSM	4273	1264370	89
DTW	1079	9230250	90
EAU	4277	18520	91
EGE	2539	185160	92
EKO	2232	21030	93
ELM	1892	142170	94
ELP	759	1599780	95
ESC	2411	20070	96
EUG	582	549480	97
EVV	550	210480	98
EWN	4194	112520	99
EWR	1202	12831580	100
EYW	2989	434000	101
FAI	1729	457090	102
FAR	1999	423120	103
FAT	106	766920	104
FAY	1364	209020	105
FLG	4383	113210	106
FLL	354	11647870	107
FNT	4259	279280	108
FSD	3479	512950	109
FSM	1977	85920	110
FWA	553	352760	111
GCC	1484	25710	112
GCK	2034	23780	113
GEG	841	1806830	114
GFK	1767	109870	115
GGG	3475	27250	116
GJT	3176	231260	117
GNV	346	248400	118
GPT	4309	267910	119
GRB	890	302180	120
GRI	2574	66460	121
GRK	762	137520	122
GRR	1054	1610920	123
GSO	1352	933350	124
GSP	605	1109110	125
GST	1576	4080	126
GTF	3128	164760	127
GTR	1585	46670	128
GUC	2530	34390	129
HDN	3530	104540	130
HIB	4302	18200	131
HLN	3145	104690	132
HNL	479	6132230	133
HOB	1633	26540	134
HOU	664	4397860	135
HPN	1225	844100	136
HRL	754	324620	137
HSV	4267	616150	138
IAD	838	4405290	139
IAH	676	8371680	140
ICT	4265	762120	141
IDA	3150	163150	142
ILM	4191	479820	143
IMT	2417	22270	144
IND	560	4128050	145
INL	4181	18430	146
ISN	1997	60320	147
ISP	1232	764660	148
ITO	3258	565760	149
JAC	1479	407720	150
JAN	3031	500340	151
JAX	364	3179440	152
JFK	1318	11093230	153
JLN	4098	44720	154
JNU	1730	265030	155
KOA	4305	1594860	156
KTN	1580	116520	157
LAN	1056	147170	158
LAR	1475	17180	159
LAS	1142	18743450	160
