parkcode,quarter,restype,nightsinpark,nightsinhalo,VMTinPark,VMTimHalo,parkVMT_Sun,haloVMT_Sun,parkVMT_Mon,haloVMT_Mon,parkVMT_Tue,haloVMT_Tue,parkVMT_Wed,haloVMT_Wed,parkVMT_Thu,haloVMT_Thu,parkVMT_Fri,haloVMT_Fri,parkVMT_Sat,haloVMT_Sat
zion,3,1,0,0,49740679.70933643,0.00000000,7610323.82542448,0.00000000,6615510.25347357,0.00000000,6366806.86048584,0.00000000,6565769.57487602,0.00000000,6615510.25347357,0.00000000,7112917.03944902,0.00000000,8853840.79036312,0.00000000
zion,3,1,1,0,17834126.48296081,0.00000000,2684035.97569272,0.00000000,2363021.70617465,0.00000000,2363021.70617465,0.00000000,2354104.64313249,0.00000000,2407607.02138550,0.00000000,2666201.84960838,0.00000000,2978299.05608428,0.00000000
zion,3,1,2,0,4638284.04318196,0.00000000,748309.84375322,0.00000000,568962.85640741,0.00000000,564324.57225191,0.00000000,593700.37190338,0.00000000,607615.22436987,0.00000000,776139.54868619,0.00000000,779231.73812319,0.00000000
zion,3,1,3,0,2453154.68582832,0.00000000,346508.09162819,0.00000000,341601.78236620,0.00000000,326269.56592247,0.00000000,343441.64833945,0.00000000,366746.61733391,0.00000000,371039.63793815,0.00000000,355094.13283668,0.00000000
zion,3,1,4,0,1513172.03299936,0.00000000,213357.26678684,0.00000000,218199.41752242,0.00000000,210330.92257709,0.00000000,203370.33089469,0.00000000,219107.32078535,0.00000000,230304.79436139,0.00000000,216988.87983853,0.00000000
zion,3,1,5,0,998709.98798398,0.00000000,139320.04669731,0.00000000,141983.27339643,0.00000000,143148.43507729,0.00000000,143314.88674598,0.00000000,143481.33841468,0.00000000,144147.14508946,0.00000000,143314.88674598,0.00000000
zion,3,1,6,0,748618.21109816,0.00000000,106945.45758290,0.00000000,106945.45758290,0.00000000,106945.45758290,0.00000000,106945.45758290,0.00000000,106945.45758290,0.00000000,106945.45758290,0.00000000,106945.45758290,0.00000000
zion,3,1,7,0,590045.45851814,0.00000000,84007.72027880,0.00000000,85777.85661479,0.00000000,84597.76572413,0.00000000,84081.47595947,0.00000000,84007.72027880,0.00000000,83933.96459814,0.00000000,83638.94187547,0.00000000
zion,3,1,8,0,469894.08137187,0.00000000,66463.90889676,0.00000000,67978.01208451,0.00000000,68395.69572251,0.00000000,67194.85526326,0.00000000,66777.17162526,0.00000000,66672.75071576,0.00000000,66411.69844201,0.00000000
zion,3,1,9,0,400536.28837949,0.00000000,56515.67297470,0.00000000,57517.01374321,0.00000000,58037.71094283,0.00000000,58077.76457357,0.00000000,57116.47743580,0.00000000,56755.99475914,0.00000000,56515.67297470,0.00000000
zion,3,1,10,0,303396.84125511,0.00000000,42751.37337461,0.00000000,43413.33012363,0.00000000,43661.56390452,0.00000000,43827.05309178,0.00000000,43827.05309178,0.00000000,43137.51481154,0.00000000,42778.95490582,0.00000000
zion,3,1,11,0,263480.31478623,0.00000000,37106.81189758,0.00000000,37611.81584648,0.00000000,37787.46939393,0.00000000,37831.38278079,0.00000000,37941.16624794,0.00000000,37919.20955451,0.00000000,37282.46544502,0.00000000
zion,3,1,12,0,216367.37093315,0.00000000,30574.37390572,0.00000000,30840.67220866,0.00000000,30957.17771619,0.00000000,30973.82136012,0.00000000,30990.46500406,0.00000000,31057.03957979,0.00000000,30973.82136012,0.00000000
zion,3,1,13,0,157049.14835210,0.00000000,22435.59238144,0.00000000,22435.59238144,0.00000000,22435.59238144,0.00000000,22435.59238144,0.00000000,22435.59238144,0.00000000,22435.59238144,0.00000000,22435.59238144,0.00000000
zion,3,1,14,0,173779.13381892,0.00000000,24780.90421717,0.00000000,25058.95082830,0.00000000,24873.58642088,0.00000000,24792.48949263,0.00000000,24780.90421717,0.00000000,24769.31894171,0.00000000,24722.97783985,0.00000000
zion,3,1,15,0,904241.21753988,0.00000000,128458.76509548,0.00000000,130097.70226564,0.00000000,130549.82286430,0.00000000,129249.97614314,0.00000000,128797.85554448,0.00000000,128684.82539481,0.00000000,128402.25002065,0.00000000
zion,3,2,0,0,1195183.95900170,6322197.17030280,187643.87736910,992584.93355154,151788.35940048,802919.02268182,130275.04861931,689119.47615998,135055.78434846,714408.26427595,155373.91119734,821885.61376879,200790.90062426,1062129.10087043,234256.05072830,1239150.61768217
zion,3,2,0,1,596540.80212903,15615759.55372875,96639.60778484,2529752.99115967,77848.57293779,2037856.57621195,69198.73150026,1811428.06774396,67707.37952827,1772388.66973224,75164.13938821,1967585.65979085,96639.60778484,2529752.99115967,112746.20908231,2951378.48968627
