ParkCode,APCode1,APCode2,APCode3,APCode4,APCode5,APCode6,APCode7,APCode8,APCode9,APCode10,APCode11,APCode12,APCode13,APCode14,APCode15,APCode16,APCode17,APCode18,APCode19,APCode20,APCode21,APCode22,APCode23,APCode24,APCode25,APCode26
acad,BGR,BOS,PWM,EWR,LGA,MHT,JFK,PHL,PVD,SWF,BDL,BWI,DCA,BTV,BUF,ALB,ORD,IAD,MVY,DTW,HPN,SYR,ELM,ROC,CLT,ISP
arch,GJT,MTJ,SLC,DEN,LAS,PHX,ABQ,ASE,JAC,LAX,EGE,SFO,COS,EKO,DRO,FLG,DFW,SAN,BZN,IDA,RAP,TUS,AMA,SGU,BOI,ELP
badl,RAP,MSP,DEN,FSD,ORD,OMA,MCI,BIS,RST,BIL,FAR,DSM,STL,ANC,JAC,CPR,MLI,SUX,BJI,DFW,MOT,MSN,BZN,COS,ICT,ISN
band,SAF,ABQ,DEN,DFW,PHX,ELP,LAS,MTJ,HOU,LBB,DAL,DRO,ROW,AMA,FLG,IAH,SLC,TUS,COS,GJT,JAC,LAX,SAN,SAT,SHV,SPS
bibe,ELP,MAF,SAT,AUS,DFW,IAH,PHX,ABQ,DAL,HOU,DEN,OKC,TUS,HOB,LBB,ABI,AMA,LRD,MFE,ROW,COS,CRP,LAS,LFT,LIT,MSY
bisc,MIA,FLL,PBI,EYW,MCO,RSW,TPA,ATL,DAB,JAX,PIE,CHA,CHS,CLT,KOA,MLB,PGD,SAV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
blca,MTJ,GUC,GJT,ASE,EGE,DRO,DEN,COS,LAS,SLC,ABQ,PHX,LAX,AMA,DFW,EKO,ICT,LAR,PSP,ROW,SUN,TUS,WYS,n/a,n/a,n/a
brca,LAS,SLC,PHX,DEN,LAX,GJT,SFO,FLG,ABQ,JAC,SGU,MTJ,SAN,CDC,ASE,TUS,BZN,RAP,DFW,COS,EKO,DRO,ONT,HNL,EGE,SMF
cach,PHX,ABQ,LAS,DEN,FLG,SAN,LAX,MTJ,SLC,DFW,TUS,DRO,GJT,AMA,OGG,PSP,SAF,SFO,SNA,IDA,JAC,KTN,LBB,TUL,n/a,n/a
cany,MTJ,GJT,SLC,LAS,DEN,PHX,ABQ,LAX,ASE,JAC,DFW,SFO,DRO,COS,EGE,FLG,AMA,EKO,BZN,SGU,HNL,SMF,BOI,ICT,SAN,SJC
