zone	zone_sqm	hholds	persons	adults	ffamcu6	ffamc6p	famnoc	fnonfam	fage017	fage1834	fage3549	fage5064	fage6579	fage80up	fwhite	fblack	fhisp	asian	fothrc	f0veh	fwathome	femployed	fincu25	finc2550	finc5075	finc75100	finc100150	finc150200	finco200	state	popden	empden	enteden	fracwater	fracprotl	coast	elevation	avgtemp1	maxtemp1	mintemp1	avgprec1	avgtemp2	maxtemp2	mintemp2	avgprec2	avgtemp3	maxtemp3	mintemp3	avgprec3	avgtemp4	maxtemp4	mintemp4	avgprec4
1	42.28	38523	92467	72694	0.112997	0.143992	0.297459	0.445552	0.213838	0.238766	0.16979	0.207631	0.130987	0.038987	0.047193	0.919529	0.023311	0.001532	0.021312	0.156011	0.021545	0.4859	0.404979	0.2952	0.160813	0.065857	0.051709	0.014693	0.006749	1	2261.699951	678.599976	30.1	0	0	0	163.6	50.1	61.1	39.1	132.8	71.7	83	60.3	118.9	79.7	90	69.3	105.9	55.9	67.2	44.6	104.2
2	52.24	44303	104587	84586	0.099452	0.114778	0.268063	0.517708	0.191238	0.296863	0.175117	0.192615	0.103732	0.040435	0.411913	0.529851	0.030269	0.015484	0.027109	0.154933	0.028823	0.555364	0.367108	0.231564	0.152721	0.093696	0.089858	0.024987	0.040065	1	2071.100098	2329.600098	176.899994	0	0	0	187.5	50.1	60.5	39.7	133.8	71.9	82.6	61.2	124.4	79.8	89.5	70.1	113.4	55.9	66.7	45.1	104
3	453.48	67447	177685	132829	0.13796	0.199846	0.372085	0.290109	0.252447	0.198492	0.189763	0.203923	0.120455	0.034921	0.619271	0.343662	0.021187	0.004997	0.022358	0.038964	0.025031	0.594607	0.19439	0.231589	0.18453	0.147242	0.160571	0.048912	0.032766	1	391.200012	101.099999	14.6	0	0	0	186.3	49.9	60.4	39.4	134.1	71.7	82.5	60.9	124.2	79.6	89.4	69.9	113	55.7	66.6	44.8	104.6
4	426.91	42676	112508	88202	0.122856	0.178156	0.377003	0.321984	0.216038	0.213834	0.19412	0.21266	0.124338	0.039011	0.530345	0.426399	0.016496	0.010732	0.023198	0.058558	0.02995	0.569341	0.209111	0.238963	0.191138	0.123559	0.149077	0.057433	0.03072	1	263.899994	88.199997	7.9	0	0	0	134.9	50.1	61.8	38.5	132.6	71.4	83.5	59.3	113	79.5	90.6	68.5	98.8	55.8	67.6	44	105.1
5	9.96	477	4074	3772	0.060797	0.24109	0.324948	0.373166	0.074129	0.491163	0.238341	0.14163	0.041973	0.012764	0.023061	0.960168	0	0	0.016771	0.148847	0	0.102333	0.362683	0.467505	0.134172	0	0.012579	0.023061	0	1	686.599976	1102.699951	13.2	0.5	0.3	1	7.9	57.3	67.3	47.2	107.7	75.8	85.1	66.6	124.1	83	91.4	74.6	163.3	62.7	73	52.4	111.3
6	56.9	45609	107381	85350	0.096034	0.138109	0.315771	0.450087	0.205167	0.262383	0.179045	0.181755	0.128524	0.043127	0.554693	0.372141	0.028547	0.024315	0.028766	0.072464	0.048632	0.578453	0.279791	0.243132	0.172137	0.11353	0.109956	0.036923	0.044531	1	2001	953.599976	127.199997	0	0	1	53.8	56.2	67	45.5	113.4	74.5	84.8	64.2	145.4	81.2	90.2	72.3	169.8	61.1	72	50.3	119.3
7	136.35	68282	172433	130192	0.143186	0.174307	0.330717	0.351791	0.244971	0.242657	0.198663	0.168703	0.10462	0.040387	0.76168	0.162356	0.032395	0.029656	0.027914	0.032	0.052989	0.681432	0.125846	0.177353	0.155883	0.123561	0.166706	0.097434	0.153218	1	1278.800049	982.700012	126.699997	0	0	0	174.4	50.1	60.7	39.5	134.7	71.9	83	60.8	121.3	79.9	89.9	69.8	112.7	55.7	66.7	44.8	105.1
8	1111.18	69927	201667	150365	0.158808	0.206758	0.388605	0.245828	0.25439	0.205834	0.187557	0.201684	0.120079	0.030456	0.767744	0.158265	0.025999	0.018076	0.040271	0.04346	0.045797	0.555748	0.216497	0.227251	0.204485	0.129149	0.138959	0.051554	0.032105	1	192.399994	52.5	4.9	0.3	0.1	1	53.1	56.2	66.8	45.7	114.5	74.5	84.5	64.4	146.7	81.2	90	72.5	170.9	61.2	71.9	50.5	119.6
9	18.05	42193	116462	86185	0.168061	0.165667	0.260019	0.406252	0.259973	0.316034	0.188774	0.149499	0.069594	0.016125	0.53106	0.064916	0.322257	0.03074	0.130733	0.098049	0.040191	0.686221	0.247908	0.301638	0.193089	0.104733	0.101415	0.025691	0.025526	4	6497.5	3435.100098	329.399994	0	0	0	355.7	58.7	75.5	41.8	19.7	77.7	95.8	59.6	4.1	89	103.9	74.1	29.1	63.6	80.2	47	16.7
10	20.9	43780	112012	88376	0.134742	0.114984	0.350594	0.39968	0.211013	0.234591	0.158965	0.164223	0.169473	0.061734	0.722293	0.039607	0.197693	0.013659	0.075491	0.073116	0.05737	0.562902	0.213088	0.286455	0.209982	0.11704	0.117565	0.036478	0.019392	4	5491.899902	1669.900024	293.799988	0	0	0	441.6	58.2	73.1	43.4	25.1	78.7	95.3	62	4.7	90.1	103.9	76.3	31.6	63.7	78.3	49.2	19.3
11	36.98	45994	139984	101286	0.163456	0.244641	0.347741	0.244162	0.276446	0.228533	0.219568	0.181192	0.074359	0.019902	0.754577	0.031221	0.135996	0.050485	0.061269	0.017654	0.076358	0.710108	0.076532	0.146258	0.179132	0.150715	0.238922	0.104209	0.104231	4	3871	1512.300049	233.300003	0	0	0	432	58.3	73.4	43.2	24.5	78.6	95.4	61.7	4.7	90	103.9	76.1	31.3	63.7	78.5	48.9	19.1
12	22.9	42815	116024	88936	0.142403	0.188906	0.306154	0.362536	0.233469	0.270272	0.195589	0.196821	0.081992	0.021858	0.611445	0.069929	0.216746	0.069812	0.082705	0.053533	0.052287	0.698041	0.137779	0.225809	0.196193	0.145066	0.184842	0.065047	0.045265	4	5178.100098	2297.899902	191.199997	0	0	0	355.7	58.7	75.5	41.8	19.7	77.7	95.8	59.6	4.1	89	103.9	74.1	29.1	63.6	80.2	47	16.7
13	40.73	43087	113717	86333	0.119642	0.210992	0.389305	0.280061	0.240808	0.149828	0.224443	0.17227	0.160724	0.051927	0.758465	0.033026	0.08274	0.10567	0.0366	0.023557	0.102061	0.600257	0.091559	0.137512	0.152482	0.13178	0.196533	0.130619	0.159514	4	2746.800049	1063	101.800003	0	0	0	368.8	58.6	75.1	42	20.5	77.8	95.7	60	4.2	89.2	103.9	74.4	29.5	63.6	79.9	47.3	17.1
14	27.29	42842	113340	89395	0.117291	0.175062	0.35729	0.350357	0.211267	0.273099	0.20015	0.200618	0.094653	0.020214	0.625905	0.067574	0.185869	0.085734	0.102983	0.044232	0.052714	0.695621	0.118062	0.164932	0.182625	0.149293	0.18762	0.105201	0.092269	4	4180.600098	3171	344.700012	0	0	0	355.7	58.7	75.5	41.8	19.7	77.7	95.8	59.6	4.1	89	103.9	74.1	29.1	63.6	80.2	47	16.7
